"event_team" "league" "winners"
"Internazionale" "Serie A" 8
"Sevilla" "La Liga" 8
"Stade Rennes" "Ligue 1" 8
"Tottenham" "Premier League" 8
"Arsenal" "Premier League" 7
"Celta Vigo" "La Liga" 7
"AS Roma" "Serie A" 6
"Atalanta" "Serie A" 6
"Bayern Munich" "Bundesliga" 6
"Chelsea" "Premier League" 6
"Fiorentina" "Serie A" 6
"Manchester Utd" "Premier League" 6
"Palermo" "Serie A" 6
"Borussia Monchengladbach" "Bundesliga" 5
"Everton" "Premier League" 5
"Genoa" "Serie A" 5
"Leicester City" "Premier League" 5
"Liverpool" "Premier League" 5
"Manchester City" "Premier League" 5
"Nice" "Ligue 1" 5
"Real Madrid" "La Liga" 5
"Sassuolo" "Serie A" 5
"Swansea" "Premier League" 5
"AC Milan" "Serie A" 4
"Bologna" "Serie A" 4
"Bordeaux" "Ligue 1" 4
"Caen" "Ligue 1" 4
"Crystal Palace" "Premier League" 4
"Hertha Berlin" "Bundesliga" 4
"Juventus" "Serie A" 4
"Lyon" "Ligue 1" 4
"Marseille" "Ligue 1" 4
"Schalke 04" "Bundesliga" 4
"Stade de Reims" "Ligue 1" 4
"West Ham" "Premier League" 4
"AS Monaco" "Ligue 1" 3
"Athletic Bilbao" "La Liga" 3
"Bayer Leverkusen" "Bundesliga" 3
"Cagliari" "Serie A" 3
"Deportivo La Coruna" "La Liga" 3
"Eintracht Frankfurt" "Bundesliga" 3
"Espanyol" "La Liga" 3
"FC Augsburg" "Bundesliga" 3
"FC Ingolstadt 04" "Bundesliga" 3
"Getafe" "La Liga" 3
"Hamburg SV" "Bundesliga" 3
"Hellas Verona" "Serie A" 3
"Las Palmas" "La Liga" 3
"Lazio" "Serie A" 3
"Malaga" "La Liga" 3
"Metz" "Ligue 1" 3
"Montpellier" "Ligue 1" 3
"Napoli" "Serie A" 3
"Rayo Vallecano" "La Liga" 3
"Sporting Gijon" "La Liga" 3
"St Etienne" "Ligue 1" 3
"Stoke City" "Premier League" 3
"Torino" "Serie A" 3
"TSG Hoffenheim" "Bundesliga" 3
"Udinese" "Serie A" 3
"Valencia" "La Liga" 3
"Villarreal" "La Liga" 3
"Bastia" "Ligue 1" 2
"Bournemouth" "Premier League" 2
"Burnley" "Premier League" 2
"Chievo Verona" "Serie A" 2
"Eibar" "La Liga" 2
"Empoli" "Serie A" 2
"FC Cologne" "Bundesliga" 2
"Frosinone" "Serie A" 2
"Guingamp" "Ligue 1" 2
"Levante" "La Liga" 2
"Lorient" "Ligue 1" 2
"Mainz" "Bundesliga" 2
"Real Betis" "La Liga" 2
"Real Sociedad" "La Liga" 2
"Sampdoria" "Serie A" 2
"Southampton" "Premier League" 2
"Sunderland" "Premier League" 2
"VfB Stuttgart" "Bundesliga" 2
"Werder Bremen" "Bundesliga" 2
"Almeria" "La Liga" 1
"Angers" "Ligue 1" 1
"Aston Villa" "Premier League" 1
"Atletico Madrid" "La Liga" 1
"Barcelona" "La Liga" 1
"Borussia Dortmund" "Bundesliga" 1
"Carpi" "Serie A" 1
"Cesena" "Serie A" 1
"Dijon FCO" "Ligue 1" 1
"Evian Thonon Gaillard" "Ligue 1" 1
"Granada" "La Liga" 1
"Hannover 96" "Bundesliga" 1
"Hull" "Premier League" 1
"Lille" "Ligue 1" 1
"Nantes" "Ligue 1" 1
"Newcastle" "Premier League" 1
"Norwich City" "Premier League" 1
"QPR" "Premier League" 1
"RB Leipzig" "Bundesliga" 1
"SC Freiburg" "Bundesliga" 1
"SV Darmstadt 98" "Bundesliga" 1
"Toulouse" "Ligue 1" 1
"VfL Wolfsburg" "Bundesliga" 1
"West Brom" "Premier League" 1
