"player2" "league" "assists"
"zlatko junuzovic" "Bundesliga" 23
"thomas muller" "Bundesliga" 20
"henrikh mkhitaryan" "Bundesliga" 19
"gonzalo castro" "Bundesliga" 18
"kevin de bruyne" "Bundesliga" 18
"franck ribery" "Bundesliga" 16
"karim bellarabi" "Bundesliga" 16
"hakan calhanoglu" "Bundesliga" 15
"max kruse" "Bundesliga" 15
"kevin volland" "Bundesliga" 13
"cesc fabregas" "Premier League" 29
"mesut ozil" "Premier League" 27
"christian eriksen" "Premier League" 23
"david silva" "Premier League" 22
"dusan tadic" "Premier League" 21
"james milner" "Premier League" 21
"alexis sanchez" "Premier League" 19
"dimitri payet" "Premier League" 18
"gylfi sigurdsson" "Premier League" 18
"kevin de bruyne" "Premier League" 18
"angel di maria" "Ligue 1" 21
"zlatan ibrahimovic" "Ligue 1" 19
"dimitri payet" "Ligue 1" 17
"javier pastore" "Ligue 1" 17
"julien feret" "Ligue 1" 16
"ryad boudebouz" "Ligue 1" 16
"jordan ferri" "Ligue 1" 13
"marco verratti" "Ligue 1" 13
"nicolas de preville" "Ligue 1" 13
"paulgeorges ntep" "Ligue 1" 13
"marek hamsik" "Serie A" 28
"miralem pjanic" "Serie A" 26
"paulo dybala" "Serie A" 20
"antonio candreva" "Serie A" 18
"diego perotti" "Serie A" 18
"domenico berardi" "Serie A" 18
"felipe anderson" "Serie A" 18
"jose callejon" "Serie A" 18
"lorenzo insigne" "Serie A" 18
"franco vazquez" "Serie A" 17
"lionel messi" "La Liga" 37
"luis suarez" "La Liga" 32
"koke" "La Liga" 24
"toni kroos" "La Liga" 24
"james rodriguez" "La Liga" 23
"cristiano ronaldo" "La Liga" 22
"neymar" "La Liga" 22
"gareth bale" "La Liga" 21
"nolito" "La Liga" 19
"isco" "La Liga" 18
