"player" "league" "goals"
"robert lewandowski" "Bundesliga" 60
"pierreemerick aubameyang" "Bundesliga" 55
"alexander meier" "Bundesliga" 35
"anthony modeste" "Bundesliga" 34
"thomas muller" "Bundesliga" 34
"raffael" "Bundesliga" 28
"arjen robben" "Bundesliga" 26
"salomon kalou" "Bundesliga" 25
"sandro wagner" "Bundesliga" 25
"bas dost" "Bundesliga" 24
"harry kane" "Premier League" 61
"sergio aguero" "Premier League" 61
"diego costa" "Premier League" 47
"alexis sanchez" "Premier League" 44
"romelu lukaku" "Premier League" 41
"olivier giroud" "Premier League" 38
"jamie vardy" "Premier League" 34
"jermain defoe" "Premier League" 31
"sadio mane" "Premier League" 31
"christian benteke" "Premier League" 30
"alexandre lacazette" "Ligue 1" 65
"edinson cavani" "Ligue 1" 56
"zlatan ibrahimovic" "Ligue 1" 55
"wissam ben yedder" "Ligue 1" 30
"benjamin moukandjo" "Ligue 1" 27
"diego rolan" "Ligue 1" 26
"michy batshuayi" "Ligue 1" 26
"valere germain" "Ligue 1" 25
"martin braithwaite" "Ligue 1" 23
"claudio beauvue" "Ligue 1" 22
"gonzalo higuain" "Serie A" 65
"mauro icardi" "Serie A" 54
"paulo dybala" "Serie A" 35
"andrea belotti" "Serie A" 32
"cyril thereau" "Serie A" 30
"luca toni" "Serie A" 28
"mohamed salah" "Serie A" 27
"jose callejon" "Serie A" 26
"carlos bacca" "Serie A" 25
"fabio quagliarella" "Serie A" 25
"cristiano ronaldo" "La Liga" 89
"lionel messi" "La Liga" 81
"luis suarez" "La Liga" 68
"neymar" "La Liga" 49
"antoine griezmann" "La Liga" 48
"karim benzema" "La Liga" 40
"gareth bale" "La Liga" 35
"kevin gameiro" "La Liga" 29
"iago aspas" "La Liga" 27
"ruben castro" "La Liga" 26
